acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto
1 IPC 1860,"E-259, GALI No.11 KHYALA, DELHI",2017-01-08,2017-01-08,Sunday,WEST,8170062170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170004,5,2017-01-09,KHYALA,14:40,363,15:00,15:00
1 IPC 1860,"NEW F-BLOCK -190, RAGHUBIR NAGAR, DELHI",2017-01-09,2017-01-09,Monday,WEST,8170062170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170005,4,2017-01-09,KHYALA,20:35,452/323/34,12:15,12:15
1 IPC 1860,"B-BLOCK NEAR FLOWER PARK, KHYALA, DELHI",2017-01-12,2017-01-12,Thursday,WEST,8170062170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170006,2,2017-01-12,KHYALA,07:25,356/379/34,05:30,05:30
1 IPC 1860,"RGA-133 DDA FLAT NEAR CEMENT GODOWN, RAGHUBIR NAGAR, DELHI",2017-01-01,2017-01-01,Sunday,WEST,8170062170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170007,1,2017-01-12,KHYALA,15:20,363,00:30,00:30
1 IPC 1860,ﬁEHoz $2ﬁgﬁz$mnﬁﬁgm,2017-01-14,2017-01-14,Saturday,WEST,8170062170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170008,3,2017-01-14,KHYALA,11:25,279/337,08:00,08:00
1 IPC 1860,"FACTORY IST FLOOR GALI NO.‘I NW-6 VISHNU GARDEN, DELHI",2017-01-15,2017-01-15,Sunday,WEST,8170062170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170009,7,2017-01-16,KHYALA,02:45,376,19:00,20:38
1 IPC 1860,"H.NO. 5D/26, GALI No.7, DHARAMPURI, KHYALA,, DELHI",2017-01-15,2017-01-15,Sunday,WEST,8170062170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170010,6,2017-01-17,KHYALA,14:30,363,17:00,17:00
1 IPC 1860,"857 MASJID ,KHYALA, DELHI @r saTPrﬁFrrcﬁ :muﬁ FITCH, Grﬁmm m",2017-01-18,2017-01-18,Wednesday,WEST,8170062170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170011,8,2017-01-19,KHYALA,00:55,279/337,23:30,23:30
1 IPC 1860,"H.NO. A-300, RAGHUBIR NAGAR,, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170012,3,2017-01-21,KHYALA,10:45,188,09:50,09:50
1 IPC 1860,"H.NO. WZ-SB/01, GROUND FLOOR, VISHNU GARDEN KHYALA, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170013,4,2017-01-21,KHYALA,10:55,188,10:00,10:00
1 IPC 1860,"8-221/190, VISHNU GARDEN,, KHYALA, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170014,4,2017-01-21,KHYALA,11:00,188,10:15,10:15
1 IPC 1860,"D-321, J.J COLONY KHYALA, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170015,4,2017-01-21,KHYALA,11:05,188,10:40,10:40
1 IPC 1860,"B-2/86, 25 YARDS, RAGHUBIR NAGAR, DELHI",2017-01-20,2017-01-20,Friday,WEST,8170062170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170016,3,2017-01-21,KHYALA,11:15,363,09:00,09:00
1 IPC 1860,"N-175A RAGHUBIR NAGAR, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170017,5,2017-01-21,KHYALA,16:30,188,15:40,15:40
1 IPC 1860,"H.NO. 601 R-BLOCK RAGHUBIR NAGAR, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170018,6,2017-01-21,KHYALA,18:25,188,17:30,17:30
1 IPC 1860,"H.NO. B-2/580-81, RAGHUBIR NAGAR,, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170019,6,2017-01-21,KHYALA,18:35,188,17:40,17:40
1 IPC 1860,"FACTORY NO.5A/99 VISHNU GARDEN, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170020,5,2017-01-21,KHYALA,19:25,287/337,13:30,13:30
1 IPC 1860,"H.NO. WZ-50/42, VISHNU GARDEN KHYALA, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170021,6,2017-01-21,KHYALA,19:40,188,18:40,18:40
1 IPC 1860,"RZ-4OB, NARSING GARDEN, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170022,7,2017-01-21,KHYALA,19:55,188,19:30,19:30
1 IPC 1860,"H.NO. NEW F-10, RAGHUBIR NAGAR, DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170062170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170023,7,2017-01-21,KHYALA,21:30,188,20:15,20:15
1 IPC 1860,"H.NO. T-20, VISHNU GAREN, NEW DELHI",2017-01-23,2017-01-23,Monday,WEST,8170062170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170024,6,2017-01-23,KHYALA,18:30,188,17:30,17:30
1 IPC 1860,"R-663, RAGHUBIR NAGAR, DELHI",2017-01-23,2017-01-23,Monday,WEST,8170062170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170025,7,2017-01-23,KHYALA,20:30,188,19:40,19:40
1 IPC 1860,"(3-576, JJ COLONY, KHYALADELHI",2017-01-23,2017-01-23,Monday,WEST,8170062170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170026,7,2017-01-23,KHYALA,20:45,188,19:30,19:30
1 IPC 1860,"A—64,RZA-BLOCK, NARSING GARDEN, DELHI",2017-01-23,2017-01-23,Monday,WEST,8170062170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170027,7,2017-01-23,KHYALA,21:00,188,19:45,19:45
1 IPC 1860,"GANDA NALA ROAD NEAR NARSING GARDEN KHYALA, DELHI",2017-01-28,2017-01-28,Saturday,WEST,8170062170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170028,4,2017-01-28,KHYALA,15:55,279/304A,12:30,12:30
1 DELHI PUBLIC GAMBLING A,"P-151 ALONG WITH GALI RAGHUBIR NAGAR, DELHI",2017-01-28,2017-01-28,Saturday,WEST,8170062170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170029,7,2017-01-28,KHYALA,20:40,12/9/55,19:45,19:45
1 IPC 1860,"B-1/37 VISHNU GARDEN, DELHI",2017-01-28,2017-01-29,INTERVENING DAY,WEST,8170062170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170062170030,,2017-01-29,KHYALA,07:35,457/380,23:30,06:00
1 IPC 1860,"MALA RAM PARK, MADIPUR DELHI",2016-12-31,2016-12-31,Saturday,WEST,8170043170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170002,7,2017-01-01,PUNJABI BAGH,00:40,392/34,21:00,21:00
1 IPC 1860,Distance from P.S (211m 0 g8 sh? Eran): Beat No(EﬁE arr.) : 817004302,,,,WEST,8170043170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170003,,,PUNJABI BAGH,,279,01/01/2017,01/01/2017
1 IPC 1860,"RING ROAD MOTI NAGAR FLYOVER, PUNJABI BAGH DELHI",2016-12-29,2016-12-29,Thursday,WEST,8170043170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170004,1,2017-01-01,PUNJABI BAGH,10:00,328/392/34,03:30,03:30
1 IPC 1860,"SHOP NO 37 KRISHNA MARKET, CLUB ROAD PUNJABI BAGH DELHI",2017-01-01,2017-01-01,Sunday,WEST,8170043170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170005,5,2017-01-01,PUNJABI BAGH,17:00,380/411,15:08,15:08
1 IPC 1860,"MAIN GATE ROAD NO 46, W. P. BAGH ND",2017-01-02,2017-01-02,Monday,WEST,8170043170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170006,5,2017-01-02,PUNJABI BAGH,16:10,356/379/34,15:00,15:00
1 IPC 1860,"H.NO.A-81B, 1ST FLOOR, OLD SLUM QTRS., PASCHIM PURI DELHI.",2017-01-03,2017-01-03,Tuesday,WEST,8170043170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170007,4,2017-01-03,PUNJABI BAGH,14:05,454/380/34,11:00,11:00
1 IPC 1860,"NEW ROHTAK ROAD RFC.“ UTII'IEﬁ EITIT UNDER PASS, PUNJABI BAGH DELHI",2017-01-04,2017-01-04,Wednesday,WEST,8170043170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170008,7,2017-01-04,PUNJABI BAGH,22:20,356/379/34,20:30,20:30
1 IPC 1860,"H NO B -1BC OLD SLUM QUARTER, PASCHIM PURI DELHI",2017-01-06,2017-01-06,Friday,WEST,8170043170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170009,4,2017-01-06,PUNJABI BAGH,21:30,363,10:30,10:30
1 IPC 1860,"CLUB ROAD NEAR, El'ﬁ'a N.11UTrI'IEﬁE-I11Tﬁﬁﬁ",2017-01-06,2017-01-06,Friday,WEST,8170043170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170010,8,2017-01-06,PUNJABI BAGH,23:40,356/379,22:30,22:30
1 IPC 1860,"3T9“ PLOT NO 107 MINI MARKET, TRANSPORT CENTER PUNJABI BAGH",2017-01-08,2017-01-08,Sunday,WEST,8170043170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170011,5,2017-01-08,PUNJABI BAGH,18:40,279/337,14:30,14:30
1 IPC 1860,"H NO 8-694, JJ COLONY MADIPUR DELHI",2017-01-06,2017-01-06,Friday,WEST,8170043170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170012,4,2017-01-08,PUNJABI BAGH,20:40,363,10:00,10:00
1 IPC 1860,"INFRONT OF KOTHI No.45, WEST AVENUE ROAD, PUNJABI BAGH DELHI.",2017-01-09,2017-01-09,Monday,WEST,8170043170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170013,7,2017-01-09,PUNJABI BAGH,22:00,356/379/34,21:00,21:00
1 IPC 1860,"ORDINANCE DEPOT, SHAKUR BASTI, MADIPUR DELHI.",2017-01-09,2017-01-09,Monday,WEST,8170043170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170014,4,2017-01-09,PUNJABI BAGH,11:30,288/337,11:30,11:30
1 IPC 1860,"24/9, 1ST FLOOR, PUNJABI BAGH EXTN NEW DELHI",2017-01-10,2017-01-10,Tuesday,WEST,8170043170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170015,5,2017-01-10,PUNJABI BAGH,17:00,420/34,13:30,13:30
1 IPC 1860,"OUTSIDE OF H NO 118, P BAGH TPT CENTER",2017-01-10,2017-01-10,Tuesday,WEST,8170043170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170016,3,2017-01-10,PUNJABI BAGH,17:30,308/34,08:30,08:30
1 IPC 1860,"JHUGGI NO.470, CEMENT SIDING, SHAKUR BASTI, PUNJABI BAGH DELHI.",2017-01-11,2017-01-11,Wednesday,WEST,8170043170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170017,2,2017-01-13,PUNJABI BAGH,21:45,363,05:00,05:00
"1 DELHI EXCISE ACT, 2009","OPPOSIT SHOP NO 14, KHURANA MKT MADIPUR DELHI",2017-01-14,2017-01-14,Saturday,WEST,8170043170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170018,4,2017-01-14,PUNJABI BAGH,16:10,33,12:30,12:30
1 IPC 1860,"FLAT NO 0-139 3RD FLOOR, LAL QUARTER MADIPUR DELHI",,,,WEST,8170043170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170019,,2017-01-14,PUNJABI BAGH,17:20,376/377/506,,
1 IPC 1860,"PUNJABI BAGH METRO STATION BETWEEN PILLAR NO 72-73, ROHTAK ROAD",2017-01-16,2017-01-16,Monday,WEST,8170043170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170020,4,2017-01-16,PUNJABI BAGH,12:30,392/34,10:45,10:45
1 IPC 1860,"ROAD NO 7 ﬁEaﬁ Emir, EAST PUNJABI BAGH, NEW DELHI",2017-01-18,2017-01-18,Wednesday,WEST,8170043170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170021,5,2017-01-18,PUNJABI BAGH,20:30,356/379,15:45,15:45
1 DELHI PUBLIC GAMBLING A,DISTT PARK NEAR Lima troll,2017-01-18,2017-01-18,Wednesday,WEST,8170043170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170022,6,2017-01-18,PUNJABI BAGH,20:35,12/9/55,17:30,17:30
1 IPC 1860,"UNDER MADIPUR, METRO STATION, PUNJABI BAGH DELHI.",2017-01-19,2017-01-19,Thursday,WEST,8170043170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170023,1,2017-01-19,PUNJABI BAGH,02:40,279/337,00:15,00:15
1 IPC 1860,"ROAD No.77, NEAR ISHKON TEMPLE, WEST PUNJABI BAGH DELHI.",2017-01-19,2017-01-19,Thursday,WEST,8170043170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170024,7,2017-01-19,PUNJABI BAGH,21:05,379/411,19:00,19:00
1 IPC 1860,,2017-01-20,2017-01-20,Friday,WEST,8170043170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170025,4,2017-01-20,PUNJABI BAGH,13:55,356/379/411/34,12:00,12:00
1 IPC 1860,"ﬁﬁﬁgﬁtﬁﬁgmm, asﬁth‘rtntﬁMETRo STN 313%er",2017-01-18,2017-01-18,Wednesday,WEST,8170043170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170026,7,2017-01-20,PUNJABI BAGH,19:20,356/379/34,20:30,20:30
1 IPC 1860,"D-96 GROUND FLOOR, J J COLONY MADIPUR DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170043170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170027,5,2017-01-21,PUNJABI BAGH,13:45,188,13:00,13:00
1 IPC 1860,"D-65 GROUND FLOOR, J J COLONY MADIPUR DELHI",2017-01-21,2017-01-21,Saturday,WEST,8170043170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170028,5,2017-01-21,PUNJABI BAGH,14:15,188,13:00,13:00
1 IPC 1860,"H.NO. 36 2ND FLOOR, SHIVAJI PARK WEST PUNJABI BAGH",2017-01-21,2017-01-21,Saturday,WEST,8170043170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170029,4,2017-01-21,PUNJABI BAGH,14:30,188,12:30,12:30
1 IPC 1860,"H.NO.WZ-18, GOLDEN PARK, RAMPURA NEW DELHI.",2017-01-21,2017-01-21,Saturday,WEST,8170043170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170043170030,5,2017-01-21,PUNJABI BAGH,16:30,188,15:00,15:00
1 IPC 1860,"NEAR POST OFFICE 23 BLOCK, TILAK NAGAR, DELHI",2017-01-02,2017-01-02,Monday,WEST,8170051170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170002,3,2017-01-02,TILAK NAGAR,21:15,356/379/34,08:20,08:20
1 IPC 1860,"IN FRONT OF SHOP NEAR NEW, BURMA MEDICOSE OLD MKT",2017-01-02,2017-01-02,Monday,WEST,8170051170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170003,7,2017-01-03,TILAK NAGAR,20:30,356/379/34,20:30,20:30
1 IPC 1860,"TILAK NAGAR FLYOVER 35 31%, TILAK NAGAR NEW DELHI",2017-01-03,2017-01-03,Tuesday,WEST,8170051170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170004,1,2017-01-04,TILAK NAGAR,22:25,279/337,00:00,00:00
1 DELHI PUBLIC GAMBLING A,"CHHAT POOJA PARK NEAR JHUGGI, SIKRI BHATTA TILAK NAGAR DELHI",2017-01-05,2017-01-05,Thursday,WEST,8170051170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170005,7,2017-01-05,TILAK NAGAR,22:45,12/9/55,20:35,20:35
1 IPC 1860,"IN FRONT OF H. NO. L-49, NEW, MAHAVIR NAGAR, TILAK NAGAR, D",2017-01-05,2017-01-05,Thursday,WEST,8170051170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170006,4,2017-01-06,TILAK NAGAR,04:50,363,11:00,12:30
1 IPC 1860,GAMING ZONE PACIFIC MALL,2015-10-01,2015-10-01,Thursday,WEST,8170051170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170007,5,2017-01-06,TILAK NAGAR,20:55,338,14:00,14:00
1 IPC 1860,"IN FRONT OF STAR PATH LAB, TILAK NAGAR NEW DELHI",2016-12-29,2016-12-29,Thursday,WEST,8170051170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170008,8,2017-01-07,TILAK NAGAR,21:10,279/337,23:30,23:30
1 IPC 1860,"BLOCK NO. 17/30, TILAK NAGAR, NEW DELHI",2017-01-08,2017-01-08,Sunday,WEST,8170051170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170009,5,2017-01-08,TILAK NAGAR,15:50,420,13:30,13:30
1 IPC 1860,"NEAR DUBER OPTICAL DUBER NALA, ROAD TILAK NAGAR DELHI",2017-01-08,2017-01-08,Sunday,WEST,8170051170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170010,7,2017-01-08,TILAK NAGAR,22:40,356/379/34,19:30,19:30
1 IPC 1860,"IN FRONT OF BARAT GHAR, NEAR SBI BANK CHOWKHANDI, TILAK NAGAR NEW DELHI",2017-01-10,2017-01-10,Tuesday,WEST,8170051170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170011,3,2017-01-10,TILAK NAGAR,17:10,379/356/34,08:00,08:00
1 IPC 1860,"S 3/53 STREET NO 2 OLD MAHAVIR NAGAR N D, TILAK NAGAR NEW DELHI",2017-01-02,2017-01-02,Monday,WEST,8170051170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170012,4,2017-01-10,TILAK NAGAR,20:05,354(A)/385,11:00,11:00
1 IPC 1860,"H NO 247 CHAND NAGAR, TILAK NAGAR NEW DELHI",2016-10-20,2016-10-20,Thursday,WEST,8170051170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170013,3,2017-01-10,TILAK NAGAR,20:30,354/506/34,09:15,09:15
1 IPC 1860,"WZ 5A CHAND NAGAR, IN FRONT OF PARK, TILAK NAGAR NEW DELHI",2017-01-10,2017-01-10,Tuesday,WEST,8170051170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170014,5,2017-01-10,TILAK NAGAR,23:20,379/356/34,15:30,15:30
1 DELHI PUBLIC GAMBLING A,"INDIRA COLONY, alas-a anaﬁ rraﬁ am 33%, TILAK NAGAR NEW DELHI",2017-01-10,2017-01-10,Tuesday,WEST,8170051170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170015,8,2017-01-10,TILAK NAGAR,23:30,12/9/55,23:15,23:15
1 IPC 1860,"NEAR 12 BLOCK TILAK NAGAR, GANDA NALA PULL",2017-01-10,2017-01-10,Tuesday,WEST,8170051170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170016,7,2017-01-11,TILAK NAGAR,01:37,356/379/34,20:10,20:10
1 IPC 1860,"KHYALA ROAD PUNJABI MKT. MANGAL BAZAR, NEAR LAL BUILDING SCHOOL, TILAK NAGAR, DELI-",2017-01-10,2017-01-10,Tuesday,WEST,8170051170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170017,8,2017-01-11,TILAK NAGAR,01:40,356/379/34,23:30,23:30
1 IPC 1860,"H. NO. B-31, TILAK VIHAR,, TILAK NAGAR DELHI",2017-01-03,2017-01-03,Tuesday,WEST,8170051170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170018,5,2017-01-11,TILAK NAGAR,20:35,325,15:45,15:45
1 IPC 1860,".. \wx‘ ”xv... 1""

Distance from P.S (211m fr :3 sh? ﬁrm): Beat N0(Eﬁ?: arr.) : 817005114",,,,WEST,8170051170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170019,,,TILAK NAGAR,,354/354(D)/506,,
1 IPC 1860,"WZ 15A , GALI NO 17 KRISHNA PURI, TILAK NAGAR",2017-01-12,2017-01-12,Thursday,WEST,8170051170020.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170020,6,2017-01-13,TILAK NAGAR,00:05,363,18:00,18:00
"1 DELHI EXCISE ACT, 2009","SANT GARH NALA NEAR KESHO PUR, MANDI, TILAK VIHAR, DELHI",2017-01-13,2017-01-13,Friday,WEST,8170051170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170021,8,2017-01-14,TILAK NAGAR,01:30,33/58,23:40,23:40
1 IPC 1860,"KALI MATA MANDIR, SHYAM NAGAR, TILAK NAGAR, DELHI",2017-01-18,2017-01-18,Wednesday,WEST,8170051170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170022,1,2017-01-18,TILAK NAGAR,05:00,356/379/34,02:30,02:30
1 IPC 1860,WZ 81A KRISHNA PARK GALI NO 10,,,,WEST,8170051170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170023,,2017-01-18,TILAK NAGAR,17:30,498A/406/34,,
1 IPC 1860,"CITY X-RAY SCAN CLINIC PVT LTD, NEAR TILAK NAGAR METRO PILLER, NO 492",,,,WEST,8170051170024.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170024,,2017-01-18,TILAK NAGAR,18:00,420/34,,
1 IPC 1860,"NEAR GATE NO 5 PACIFIC MALL, SHYAM NAGAR DELHI",2017-01-17,2017-01-17,Tuesday,WEST,8170051170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170025,8,2017-01-18,TILAK NAGAR,22:10,323/341/34,23:35,23:35
1 IPC 1860,"16/148 SHOP NO 5, MANGAL BAZAR ROAD, TILAK NAGAR DELHI",2017-01-17,2017-01-19,INTERVENING DAY,WEST,8170051170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170026,,2017-01-19,TILAK NAGAR,15:35,457/380,21:00,08:00
1 IPC 1860,"ELF?! EI'IFrIT WEE, 22 BLOCK, TILAK NAGAR DELHI",2017-01-19,2017-01-19,Thursday,WEST,8170051170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170027,5,2017-01-19,TILAK NAGAR,18:10,356/379/34,15:45,15:45
1 IPC 1860,"B 380 CHOWKHANDI, TILAK NAGAR DELHI",2017-01-17,2017-01-17,Tuesday,WEST,8170051170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170028,7,2017-01-19,TILAK NAGAR,20:10,363,20:00,20:00
1 IPC 1860,"SUBHASH NAGAR METRO STATION, NAJAFGARH ROAD DELHI",2017-01-20,2017-01-20,Friday,WEST,8170051170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170029,8,2017-01-20,TILAK NAGAR,23:55,188,23:10,23:10
1 IPC 1860,"H NO D 34D TILAK VIHAR, TILAK NAGAR",2017-01-21,2017-01-21,Saturday,WEST,8170051170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170051170030,5,2017-01-21,TILAK NAGAR,16:55,188,15:15,15:15
"1 DELHI EXCISE ACT, 2009","HINDUSTAN VEGITABLE, 64/65 INDL AREA KIRTI NAGAR DELHI 1-1395 m, NEW DELHI.",2017-01-01,2017-01-01,Sunday,WEST,8170025170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170002,6,2017-01-01,KIRTI NAGAR,20:30,33,18:30,18:30
1 IPC 1860,"UFIEPIEIWTU'IEE MS GARDEN DELHI, NEW DELHI.",2017-01-04,2017-01-04,Wednesday,WEST,8170025170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170003,7,2017-01-04,KIRTI NAGAR,23:15,392/411/34,21:00,21:00
1 IPC 1860,"cmﬁ 2% ﬂ, M s GARDEW ENE?",2017-01-06,2017-01-06,Friday,WEST,8170025170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170004,6,2017-01-06,KIRTI NAGAR,17:05,283,16:00,16:00
1 IPC 1860,"B-117, WHS KIRTI NAGAR DELHI, 2F) atmﬁ mﬁm",2017-01-06,2017-01-06,Friday,WEST,8170025170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170005,6,2017-01-06,KIRTI NAGAR,18:10,283,17:10,17:10
1 IPC 1860,"HTc: ﬁ'gj mam, anﬁ 5/35 aﬁﬁ’fmﬁ, NEW DELHI",2017-01-06,2017-01-06,Friday,WEST,8170025170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170006,7,2017-01-07,KIRTI NAGAR,01:15,323/341/34,19:20,19:20
1 IPC 1860,"HTcZﬁ'QPI Maw, @1111 5/35 aﬁ-ﬁm, Wag-ca ﬂaw, NEW DELHI.",2017-01-06,2017-01-06,Friday,WEST,8170025170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170007,7,2017-01-07,KIRTI NAGAR,03:00,323/341/34,19:00,19:00
1 IPC 1860,"D 33, KIRTI NAGAR, NEW DELHI.",2017-01-06,2017-01-06,Friday,WEST,8170025170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8170025170008,4,2017-01-07,KIRTI NAGAR,08:05,363,12:00,12:00
