acts,address,datefrom,dateto,day,district,filename,link,pahar,psdate,pstation,pstime,section,timefrom,timeto,full_charge,group_charge,hour,Formatted_address,Lat,Long
1 IPC 1860,"H.NO. T-727, MANGOL PURI, DELHI.",2017-01-06,2017-01-07,INTERVENING DAY,OUTER DISTRICT,8174005170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174005170027,,2017-01-07,MANGOL PURI,20:40,380,23:00,05:15,Theft,Theft,23.0,"Mangolpuri, New Delhi, Delhi, India",28.692536699999998,77.0884237
1 IPC 1860,"NEAR GALI 3-4, P BLOCK, MANGOL PURI, DELHI.",2017-01-07,2017-01-07,Saturday,OUTER DISTRICT,8174005170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174005170028,7,2017-01-07,MANGOL PURI,21:35,379,20:25,20:25,Theft,Theft,20.0,"Mangolpuri, New Delhi, Delhi, India",28.692536699999998,77.0884237
1 IPC 1860,"IN FRONT OF BAL BHARTI SCHOOL, PITAMPURA, DELHI.",2017-01-07,2017-01-07,Saturday,OUTER DISTRICT,8174005170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174005170029,7,2017-01-07,MANGOL PURI,21:45,379/34,20:00,20:00,Theft,Theft,20.0,"Parwana Road, Pitampura, Behind Police Line, Delhi, 110034, India",28.6914333,77.107517
1 IPC 1860,"FURNITURE MKT, AVNTIKA CHOWK, MANGOL PURI, DELHI.",2017-01-07,2017-01-07,Saturday,OUTER DISTRICT,8174005170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174005170030,7,2017-01-07,MANGOL PURI,22:15,379/34,21:30,21:30,Theft,Theft,21.0,"RZ-113, Main Road, Near Union Bank Of India, Furniture Market, Mangolpur Khurd,, Delhi, 110083, India",28.699744,77.09457900000002
1 IPC 1860,"E-6, JHUGGI NO.104, SULTANPURI DELHI",2017-01-01,2017-01-01,Sunday,OUTER DISTRICT,8174011170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170004,7,2017-01-04,SULTANPURI,18:30,363,19:00,19:00,Kidnapping,Kidnapping,19.0,"E2/20, Uttam Nagar, Block C, Chanakya Place, Sitapuri, New Delhi, Delhi 110059, India",28.613503,77.078859
1 IPC 1860,"342, VILLAGE, POOTH, KALAN,DELHI",2017-01-05,2017-01-05,Thursday,OUTER DISTRICT,8174011170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170006,6,2017-01-05,SULTANPURI,22:20,195A/452/506/34,17:30,17:30,Criminal intimidation-Threatening to give false evidence-house-trespass,house-trespass,17.0,"Main Pooth Kalan Rd, Prahladpur Bangar, Sector 31, Rohini, Delhi, 110039, India",28.747953999999996,77.08213909999998
1 IPC 1860,"NEAR SUNDER DAIRY, 0-9 BLOCK, SULTANPURI DELHI",2017-01-06,2017-01-06,Friday,OUTER DISTRICT,8174011170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170008,7,2017-01-06,SULTANPURI,22:40,392/34,21:40,21:40,Robbery,Robbery,21.0,"C6/288, Post Office Road, Block C6, Sultanpuri, Delhi, 110086, India",28.701182,77.082774
1 IPC 1860,"NR SULTANURI, BUS TERMINAL, SULTANPURI, DELHI",2017-01-09,2017-01-09,Monday,OUTER DISTRICT,8174011170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170014,7,2017-01-09,SULTANPURI,21:10,356/379,20:00,20:00,Snatching-Theft,Snatching,20.0,"Shankar Lal Ave Sartodevi Marg, Block D 3, Sultanpuri, New Delhi, Delhi 110086, India",28.703645,77.07513399999998
1 IPC 1860,"NEAR SHRI RAM, DHRAM KANTA, KIRARI ROAD, SULTANPURI DELHI",2017-01-11,2017-01-11,Wednesday,OUTER DISTRICT,8174011170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170017,6,2017-01-11,SULTANPURI,22:45,356/379/34,17:30,17:30,Snatching-Theft,Snatching,17.0,"Block B, Prem Nagar I, Prem Nagar, Delhi, 110041, India",28.690520799999998,77.0609324
1 IPC 1860,"E-105, KRISHAN VIHAR, DELHI",2017-01-10,2017-01-10,Tuesday,OUTER DISTRICT,8174011170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170019,4,2017-01-12,SULTANPURI,22:00,363,12:00,12:00,Kidnapping,Kidnapping,12.0,"105, Krishna Park Extension, Tilak Nagar, Delhi, 110018, India",28.637656,77.081781
1 IPC 1860,"F-6/795, LABOUR COLONY, SULTANPURI DELHI",2017-01-13,2017-01-13,Friday,OUTER DISTRICT,8174011170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170021,6,2017-01-13,SULTANPURI,21:20,324/354(D)/509/34,18:30,18:30,Stalking-hurt by dangerous weapons-sexual harrasement,sexual harrasement,18.0,"Labour Colony, Sultanpuri, Delhi, India",28.686722800000002,77.0675992
1 IPC 1860,"IN FRONT OF GEETA P. SCHOOL, SULTANPURI DELHI",2017-01-16,2017-01-16,Monday,OUTER DISTRICT,8174011170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170023,8,2017-01-17,SULTANPURI,00:50,356/379/34,23:30,23:30,Snatching-Theft,Snatching,23.0,"Block E 2, Sultanpuri, Delhi, 110086, India",28.693745500000002,77.0725686
1 IPC 1860,"D-5/1, SULTANPURI, DELHI",2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174011170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170027,6,2017-01-21,SULTANPURI,17:30,188,17:00,17:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,17.0,"Shiv Mandir Rd, Sultanpuri, Delhi, 110086, India",28.6900946,77.0678339
1 IPC 1860,"P-3/262, SULTANPURI, DELHI",2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174011170028.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170028,6,2017-01-21,SULTANPURI,17:55,188,17:25,17:25,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,17.0,"262, Gali Number 3, Pratap Vihar Part I, Pratap Vihar, Sultanpuri, Delhi, 110086, India",28.7019929,77.0597777
1 IPC 1860,"K—25, KRISHAN VIHAR, DELHI",2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174011170029.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170029,6,2017-01-21,SULTANPURI,18:15,188,17:45,17:45,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,17.0,"Gali Number 25, Block U, Budh Vihar Phase II, Budh Vihar, Delhi, 110086, India",28.718673,77.08723559999999
1 IPC 1860,"6/57, WEST FIRENDS ENCLAVE, SULTANPURI, DELHI",2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174011170031.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170031,6,2017-01-21,SULTANPURI,19:40,188,18:15,18:15,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"57, Block F 7, Sultanpuri, Delhi, 110086, India",28.688406,77.066711
1 IPC 1860,"F-2/249, SULTANPURI, DELHI",2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174011170032.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174011170032,6,2017-01-21,SULTANPURI,19:45,188,18:15,18:15,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"E-249, Block P, Sultanpuri, Delhi, 110086, India",28.706689,77.082798
1 IPC 1860,"H NO. 97, RANI KHERA, DELHI",2017-01-05,2017-01-06,INTERVENING DAY,OUTER DISTRICT,8174010170004.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170004,,2017-01-06,KANJHAWALA,08:15,457/380,19:00,05:30,Theft-house-trespass,Theft,19.0,"Rani Khera, Delhi, 110081, India",28.7040152,77.01326429999997
1 IPC 1860,"MAIN ROAD, JJ COLONY SAWDA, DELHI",2017-01-06,2017-01-06,Friday,OUTER DISTRICT,8174010170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170007,2,2017-01-07,KANJHAWALA,20:35,279/337,04:30,04:30,Rash driving-endangering safety of others,Rash driving,4.0,"Main Rd, Ghevra, Delhi, 110081, India",28.693990200000002,77.000447
1 IPC 1860,"51A, GALI NO. 18, SUKHBIR NAGAR KARALA",2017-01-09,2017-01-09,Monday,OUTER DISTRICT,8174010170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170010,,2017-01-09,KANJHAWALA,20:15,380,14:00,18:00,Theft,Theft,14.0,"Gali Number 18, Rama Vihar, Sector 39, Rohini, Delhi, 110081, India",28.720980400000002,77.0441036
1 IPC 1860,"H NO. H-47‘I, JJ COLONY SAWDA DELHI",2017-01-14,2017-01-15,INTERVENING DAY,OUTER DISTRICT,8174010170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170017,,2017-01-15,KANJHAWALA,13:10,380/457,04:00,07:00,Theft-house-trespass,Theft,4.0,"J J Colony, Sawda, Delhi, 110081, India",28.702506099999997,76.9830277
1 IPC 1860,"H NO 0-197 AND 0-189, SAWADA JJ COLONY, DELHI",2017-01-18,2017-01-18,Wednesday,OUTER DISTRICT,8174010170018.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170018,1,2017-01-18,KANJHAWALA,08:45,380,00:00,00:00,Theft,Theft,0.0,"Sawada, Upkar Vihar Colony, Sawda, Delhi, 110081, India",28.7103119,76.9823077
1 IPC 1860,"NEAR PNB ATM, MADANPUR MUBARAKPUR ROAD, DELHI",2015-03-29,2015-03-29,Sunday,OUTER DISTRICT,8174010170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170019,6,2017-01-18,KANJHAWALA,18:30,279/337,16:45,16:45,Rash driving-endangering safety of others,Rash driving,16.0,"Dr NS Hardikar Road, Sector 2, Rohini, North West Delhi, Delhi, 110085, India",28.69904600000001,77.103977
1 IPC 1860,"H NO. A-70, ANANDPUR DHAM, KARALA, DELHI",2017-01-20,2017-01-21,INTERVENING DAY,OUTER DISTRICT,8174010170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170023,,2017-01-21,KANJHAWALA,11:55,380,21:00,09:00,Theft,Theft,21.0,"369 b, Kanjhawala Road, Shiv Vihar Colony, Karala, Delhi, 110081, India",28.733748,77.02512469999998
1 IPC 1860,UPKAR VIHAR COLONY,2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174010170025.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170025,6,2017-01-21,KANJHAWALA,19:35,188,18:00,18:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"Upkar Vihar Colony, Sawda, Delhi, 110081, India",28.711070399999997,76.9851288
1 IPC 1860,"H NO A-257, MEER VIHAR, DELHI",2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174010170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170026,7,2017-01-21,KANJHAWALA,21:35,188,20:45,20:45,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,20.0,"Meer Vihar, Mubarakpur Dabas, Delhi, 110081, India",28.715856899999995,77.03197840000001
1 IPC 1860,"A—11, MEER VIHAR, MADANPUR DABAS, DELHI",2017-01-21,2017-01-21,Saturday,OUTER DISTRICT,8174010170027.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170027,7,2017-01-21,KANJHAWALA,21:40,188,20:50,20:50,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,20.0,"Shop No. C-11, Block D, Meer Vihar, Madanpur Dabas, Delhi, 110081, India",28.714588,77.030957
1 IPC 1860,"L-302, JJ COLONY SAWDA DELHI",2017-01-22,2017-01-22,Sunday,OUTER DISTRICT,8174010170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174010170030,6,2017-01-22,KANJHAWALA,17:55,188,17:00,17:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,17.0,"J J Colony, Sawda, Delhi, 110081, India",28.702506099999997,76.9830277
1 IPC 1860,"HNO 23-24, GALI NO 9, RANAJI ENACLAVE, NAJAFGARH, NEW DELHI",2017-01-02,2017-01-02,Monday,OUTER DISTRICT,8174019170003.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170003,5,2017-01-03,NAJAF GARH,20:00,363,14:00,14:00,Kidnapping,Kidnapping,14.0,"23, Street Number 9, Mahavir Enclave I, Sector 1A Dwarka, Mahavir Enclave, New Delhi, Delhi 110046, India",28.6000843,77.0835913
1 IPC 1860,"SOM BAJAR MARKET, NAJAFGARH",2017-01-07,2017-01-07,Saturday,OUTER DISTRICT,8174019170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170007,4,2017-01-07,NAJAF GARH,22:20,363,10:00,10:00,Kidnapping,Kidnapping,10.0,"Som Bazar Rd, Najafgarh, Delhi, 110043, India",28.6124728,76.98109659999999
1 IPC 1860,"E BLOCK, VEER BAZAR ROAD, JAI VIHAR PHASE I, NAJAFGARH",2017-01-14,2017-01-14,Saturday,OUTER DISTRICT,8174019170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170010,4,2017-01-16,NAJAF GARH,14:35,509/323/427/34,12:20,12:20,Causing hurt-mischief-sexual harrasement,sexual harrasement,12.0,"53A,Block -E ,Veer Bazar Chowk,Jai Vihar ,Delhi 110043 Phase -1,, Phase -1, Jai Vihar, Najafgarh, Delhi, 110043, India",28.631567600000004,77.0029542
1 IPC 1860,"NEAR METRO PILLAR NO 76, NAJAFGARH UTTAM NAGAR ROAD,, NAJAFGARH , NEW DELHI",2017-01-17,2017-01-17,Tuesday,OUTER DISTRICT,8174019170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170013,7,2017-01-17,NAJAF GARH,21:30,356/379/34,20:00,20:00,Snatching-Theft,Snatching,20.0,"WZ-246B/9, Main Najafgarh Road, Opp-Metro Pillar No-655, Uttam Nagar, Delhi, 110059, India",28.624163899999996,77.0632392
1 IPC 1860,"HNO 37, BLOCKA 3, DHARAMPURA EXT., NAJAFGARH, NEW DELHI",2017-01-18,2017-01-18,Wednesday,OUTER DISTRICT,8174019170014.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170014,5,2017-01-18,NAJAF GARH,16:20,307,13:30,13:30,murder,murder,13.0,"49, Old Dharampura, Masudabad, Najafgarh, Delhi, 110043, India",28.6106021,76.9973494
1 IPC 1860,"GOVT GIRLS SEC SEC SCHOOL NO ‘I, NAJAFGARH, NEW DELHI",2017-01-16,2017-01-16,Monday,OUTER DISTRICT,8174019170015.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170015,4,2017-01-19,NAJAF GARH,18:40,363,12:40,12:40,Kidnapping,Kidnapping,12.0,"Dharampura, Najafgarh, Delhi, 110043, India",28.6114686,76.9872583
1 IPC 1860,"H NO RZ 1A, A1 BLOCK, DHARAMPURA, NAJAFGARH",2017-01-22,2017-01-22,Sunday,OUTER DISTRICT,8174019170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170019,1,2017-01-22,NAJAF GARH,03:45,354,02:15,02:15,sexual harrasement,sexual harrasement,2.0,"I, Rz-42, S Block, Dharampura, Najafgarh, Delhi, 110043, India",28.6067522,76.99167220000002
1 IPC 1860,"H. NO. H 168 A, DHRAMPURA, NAJAFGARH, NEW DELHI",2017-01-22,2017-01-22,Sunday,OUTER DISTRICT,8174019170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170021,6,2017-01-23,NAJAF GARH,13:00,363,17:00,17:00,Kidnapping,Kidnapping,17.0,"49, Old Dharampura, Masudabad, Najafgarh, Delhi, 110043, India",28.6106021,76.9973494
1 IPC 1860,"PLOT NO 12A, GOLDEN ENCALVE, RANAJI ENCLAVE, NAJAFGARH, NEW DELHI",2017-01-23,2017-01-23,Monday,OUTER DISTRICT,8174019170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170022,6,2017-01-23,NAJAF GARH,18:40,188,17:30,17:30,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,17.0,"34-b-Golden Enclave, Ranaji Enclave, Masudabad, Najafgarh, New Delhi, Delhi 110043, India",28.6178119,77.014344
1 IPC 1860,"OLD KAKROLA ROAD, NEAR JAL BOARD OFFICE, NAJAFGARH, NEW DELHI",2017-01-31,2017-01-31,Tuesday,OUTER DISTRICT,8174019170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170030,4,2017-01-31,NAJAF GARH,16:05,279/337,10:00,10:00,Rash driving-endangering safety of others,Rash driving,10.0,"Plot No-5, Shivaji Road, 34-b-Golden Enclave, Ranaji Enclave, Masudabad, Najafgarh, Delhi, 110043, India",28.612778100000003,76.9961887
1 IPC 1860,"NEAR TELEPHONE EXCHANGE, THANA ROAD, NAJAFGARH, NEW DELHI",2017-01-27,2017-01-27,Friday,OUTER DISTRICT,8174019170031.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8174019170031,1,2017-01-31,NAJAF GARH,18:05,341/392/34,02:10,02:10,Robbery-wrong restraint,Robbery,2.0,"Main Gopal Nagar Rd, Najafgarh Village, Najafgarh, Delhi, 110043, India",28.611487699999998,76.9786504
1 IPC 1860,"VERDHMAN MARKET, PH-1, SEC-3, DWARKA, NEW DELHI",2017-01-04,2017-01-04,Wednesday,SOUTH WEST,8171004170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171004170007,1,2017-01-05,BINDA PUR,08:05,279/337,00:00,00:00,Rash driving-endangering safety of others,Rash driving,0.0,"Pocket 2, Sector 2 Dwarka, Pocket 2, Sector 2 Dwarka, Dwarka, New Delhi, Delhi 110075, India",28.598920899999996,77.070155
1 IPC 1860,"B-1/41, GALI NO-19, KIRAN GARDEN, UTTAM NAGAR, NEW DELHI",2017-01-03,2017-01-03,Tuesday,SOUTH WEST,8171004170008.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171004170008,6,2017-01-05,BINDA PUR,20:30,365,18:00,18:00,Kidnapping,Kidnapping,18.0,"1, Gali number 19, Phase 2, Om Vihar, Nawada, Delhi, 110066, India",28.6236222,77.0487444
1 IPC 1860,"H. NO-RZ-37, V-BLOCK, VISU VIHAR, UTTAM NAGAR, NEW DELHI",2017-01-05,2017-01-05,Thursday,SOUTH WEST,8171004170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171004170010,4,2017-01-06,BINDA PUR,17:30,380/411,11:30,11:30,Theft,Theft,11.0,"RZ-71, Block A, Vishu Vihar V Block, Uttam Nagar, Delhi, 110059, India",28.612053000000003,77.066384
1 IPC 1860,"8-11, VIJAY VIHAR, UTTAM NAGAR, NEW DELHI",2017-01-06,2017-01-06,Friday,SOUTH WEST,8171004170011.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171004170011,7,2017-01-07,BINDA PUR,00:50,427/323/3411'5061’3,21:45,21:45,Causing hurt-mischief,Others,21.0,"Uttam Nagar, Nawada, New Delhi, Delhi 110059, India",28.6204333,77.03153409999999
1 IPC 1860,"H. NO RZ G-47, WEST SAGAR PUR",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171054170005.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170005,7,2017-01-12,SAGAR PUR,20:15,188,19:15,20:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,19.0,"RZ-J-47/221, Block G, West Sagarpur, Sagar Pur, New Delhi, Delhi 110046, India",28.6060196,77.09356159999999
1 IPC 1860,"R2 1 -4, WEST SAGAR PUR, NEW DELHI",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171054170006.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170006,7,2017-01-12,SAGAR PUR,20:20,188,19:00,20:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,19.0,"Sagar Pur, New Delhi, Delhi 110046, India",28.604100899999995,77.0976165
1 IPC 1860,"H. NO RZ G-45, DABRI EXT., NEW DELHI",2017-01-12,2017-01-12,Thursday,SOUTH WEST,8171054170007.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170007,7,2017-01-12,SAGAR PUR,20:30,188,19:30,20:15,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,19.0,"RZ-45, Mohan Block West, Raghu Enclave, Block I, Dabri Extension East, Dabri, New Delhi, Delhi 110046, India",28.607828499999997,77.092017
1 IPC 1860,"H.NO R2 42, GALI NO 258, INDRA PRK, SAGAR PUR NEW DELHI",2017-01-13,2017-01-13,Friday,SOUTH WEST,8171054170009.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170009,7,2017-01-13,SAGAR PUR,20:35,188,18:30,19:45,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"258, Street Number 42, Mahavir Enclave Part 2, Mahavir Enclave Part 3, Mahavir Enclave, New Delhi, Delhi 110059, India",28.6058455,77.0691762
1 IPC 1860,"H.NO H 11, HARIJAN BASTI GEETANJALI PARK, SAGAR PUR DELHI",2017-01-13,2017-01-13,Friday,SOUTH WEST,8171054170010.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170010,7,2017-01-13,SAGAR PUR,20:45,188,18:40,20:20,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"Sagarpur West, Block C, West Sagarpur, Sagar Pur, New Delhi, Delhi 110046, India",28.6039408,77.10069190000002
1 IPC 1860,"RZ 112/73, GALI NO 10, EAST SAGARPUR, NEW DELHI",2017-01-13,2017-01-13,Friday,SOUTH WEST,8171054170012.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170012,8,2017-01-13,SAGAR PUR,22:40,188,21:00,22:20,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,21.0,"20/2, Jagdamba Vihar, Block RZ, Sagar Pur, New Delhi, Delhi 110046, India",28.602790000000002,77.09692940000002
1 IPC 1860,"H.NO R2 401, GALI NO 3, MAIN SAGAR PUR NEW DELHI",2017-01-15,2017-01-15,Sunday,SOUTH WEST,8171054170013.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170013,7,2017-01-15,SAGAR PUR,20:50,188,20:05,20:30,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,20.0,"Gali Number 3, West Sagarpur, Sagar Pur, New Delhi, Delhi 110046, India",28.603005699999997,77.09635440000002
1 IPC 1860,"D-5/4, VASHIST PARK, NEW DELHI",2017-01-17,2017-01-17,Tuesday,SOUTH WEST,8171054170016.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170016,7,2017-01-17,SAGAR PUR,19:30,188,18:30,19:15,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"5, Street Number 4, Kailashpuri Main, Block R, Manglapuri, New Delhi, Delhi 110045, India",28.594337,77.097746
1 IPC 1860,"AGGARWAL SWEET, WALI GALI, VASHIST PARK SAGARPUR, NEW DELHI",2017-01-17,2017-01-17,Tuesday,SOUTH WEST,8171054170017.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170017,,2017-01-17,SAGAR PUR,21:25,420/34,10:30,21:20,cheating,cheating,10.0,"WZ19/20, Pankha Rd, Mohan Nagar, Sagar Pur, New Delhi, Delhi 110046, India",28.608362100000004,77.1024231
1 IPC 1860,"RZ 26A, GALI NO 1, DURGA PARK",2017-01-18,2017-01-18,Wednesday,SOUTH WEST,8171054170019.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170019,7,2017-01-18,SAGAR PUR,19:25,188,18:10,19:05,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"Rz-10B/179, Gali Number 1, Block B 2, Dashrath Puri, New Delhi, Delhi 110046, India",28.604828,77.0883618
1 IPC 1860,"462/407, GALI NO 15, SHIV PURI WEST SAGAR PUR",2017-01-20,2017-01-20,Friday,SOUTH WEST,8171054170021.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170021,7,2017-01-20,SAGAR PUR,21:50,188,20:30,21:30,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,20.0,"Rz 476/407, Futta Rd, Shiv Puri, Shiv Puri, Block RZ, West Sagarpur, Manglapuri, New Delhi, Delhi 110046, India",28.5997063,77.09371750000003
1 IPC 1860,"RZ-44A, I BLOCK, WEST SAGARPUR, NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH WEST,8171054170022.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170022,7,2017-01-21,SAGAR PUR,19:50,188,18:30,19:35,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"Geetanjali Park, Block RZ, West Sagarpur, Sagar Pur, New Delhi, Delhi 110046, India",28.605097100000002,77.0978147
1 IPC 1860,"H.NO. R2 39., RAGHU NAGAR, PANKHA ROAD, NEW DELHI",2017-01-21,2017-01-21,Saturday,SOUTH WEST,8171054170023.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170023,7,2017-01-21,SAGAR PUR,20:25,188,18:10,20:00,Disobedience to pub. Serv. Order,Disobedience to pub. Serv. Order,18.0,"39, Pankha Rd, C-1A Block, Janakpuri, New Delhi, Delhi 110058, India",28.616365999999996,77.081189
1 IPC 1860,"KALI MATA MANDIR NEAR, SAGAR PUR",2017-01-24,2017-01-24,Tuesday,SOUTH WEST,8171054170026.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170026,,2017-01-24,SAGAR PUR,17:35,336/337/34,13:00,17:25,endangering safety of others,endangering safety of others,13.0,"273-288, Pankha Rd, RWA Colony, Janakpuri, New Delhi, Delhi 110058, India",28.6090332,77.098925
1 IPC 1860,"RZ B 48, DABRI EXTN",2017-01-23,2017-01-29,INTERVENING DAY,SOUTH WEST,8171054170030.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171054170030,,2017-01-29,SAGAR PUR,13:10,363,16:00,13:05,Kidnapping,Kidnapping,16.0,"RZ-48, Mohan Block West, Raghu Enclave, Block I, Dabri Extension East, Dabri, New Delhi, Delhi 110046, India",28.608086600000004,77.0920137
1 IPC 1860,"A—BLOCK SHIV VIHAR J.J. COLONY, UTTAM NAGAR NEW DELHI",2017-01-01,2017-01-01,Sunday,SOUTH WEST,8171059170002.pdf,http://59.180.234.21:8080/citizen/gefirprint.htm?firRegNo=8171059170002,6,2017-01-01,UTTAM NAGAR,21:35,324,18:30,18:30,hurt by dangerous weapons,hurt by dangerous weapons,18.0,"Uttam Nagar, Nawada, New Delhi, Delhi 110059, India",28.6204333,77.03153409999999
